case,x_m,Nu,Nu_reference,Cf,Cf_reference,q_wall_W_m2
fine,0.6597222222222222,57.0472330286455,54.56294842150126,0.004939529292694409,0.004497925820486176,222.2319999920119
fine,0.673611111111111,57.345199394515106,54.870663008943374,0.004886626234110633,0.004451313932310999,218.78671538064077
fine,0.6875,57.64680988466024,55.18130963098339,0.004835375049053777,0.004406121757473716,215.49425658702086
fine,0.7013888888888888,57.95153238580168,55.49441636505031,0.0047856921762769655,0.004362278659285065,212.34359510235137
fine,0.7152777777777777,58.258901641065215,55.80957032536324,0.004737500151993823,0.004319718825381551,209.32479921675164
fine,0.7291666666666666,58.56850998783038,56.12640935309425,0.004690727076443025,0.004278380852196801,206.42889691710735
fine,0.7430555555555556,58.87999961401628,56.444615045303294,0.004645306143647403,0.0042382073723556905,203.64775941266493
fine,0.7569444444444444,59.19305606260202,56.76390687884811,0.004601175227394477,0.004199144719847852,200.97400172153908
fine,0.7708333333333333,59.50740277162305,57.08403723490618,0.0045582765179420625,0.004161142628535437,198.40089745695732
fine,0.7847222222222221,59.82279648295097,57.4047871681658,0.004516556205473051,0.004124153960142789,195.92230550805755
fine,0.798611111111111,60.13902339177347,57.725962794819026,0.004475964208048113,0.0040881344583803625,193.53260675502202
fine,0.8125,60.455895942592115,58.04739219718613,0.004436453943959201,0.004053042526286375,191.22664931995294
fine,0.8263888888888888,60.7732502102993,58.368922761593424,0.004397982151277168,0.0040188390242388294,188.99970115821486
fine,0.8402777777777777,61.09094383896092,58.690418881115846,0.004360508761374333,0.003985487086407718,186.8474090572121
fine,0.8541666666666666,61.40885454687447,59.01175996682054,0.0043239968385053755,0.0039529519536903165,184.7657633390838
fine,0.8680555555555556,61.72687923956741,59.33283872084642,0.004288412603438285,0.003921200821408302,182.75106775183286
fine,0.8819444444444444,62.04493377126951,59.65355963251616,0.004253725561829058,0.0038902027002495243,180.79991409505058
fine,0.8958333333333333,62.36295325953046,59.97383766508088,0.004219908748408318,0.0038599282891144194,178.90916079292276
fine,0.9097222222222221,62.680892022376206,60.293597105938474,0.004186939038999185,0.003830349858681064,177.0759123636717
fine,0.923611111111111,62.998716948237856,60.612770557473866,0.004154796703390212,0.0038014411446371465,175.29748246769827
fine,0.9375,63.316375792827834,60.93129804922461,0.004123457267726148,0.0037731772496444422,173.57129150673873
fine,0.9513888888888888,63.63392046774859,61.24912625502152,0.0040928816943496095,0.003745534553204065,171.89519187375475
fine,0.9652777777777777,63.95332387889452,61.566207801205316,0.00406358758545344,0.0037184906286808583,170.27227410864236
fine,0.9791666666666666,64.26602012123726,61.882500654066,0.004040174832638746,0.0036920241668244686,168.67779238629424
